timestamp,username,ip,status
2026-04-05 15:45:04.343862,admin,192.168.1.11,SUCCESS
2026-04-05 15:45:06.554453,alice,192.168.1.16,SUCCESS
2026-04-05 15:45:08.128590,admin,203.0.113.42,FAIL
2026-04-05 15:45:08.128601,admin,203.0.113.42,FAIL
2026-04-05 15:45:08.128607,admin,203.0.113.42,FAIL
2026-04-05 15:45:08.128611,admin,203.0.113.42,FAIL
2026-04-05 15:45:08.128615,admin,203.0.113.42,FAIL
2026-04-05 15:45:10.891855,admin,203.0.113.42,FAIL
2026-04-05 15:45:10.891873,admin,203.0.113.42,FAIL
2026-04-05 15:45:10.891887,admin,203.0.113.42,FAIL
2026-04-05 15:45:10.891899,admin,203.0.113.42,FAIL
2026-04-05 15:45:10.891910,admin,203.0.113.42,FAIL
2026-04-05 15:45:10.891917,admin,203.0.113.42,FAIL
2026-04-05 15:45:12.410991,admin,192.168.1.12,SUCCESS
2026-04-05 15:45:13.967353,admin,203.0.113.42,FAIL
2026-04-05 15:45:13.967365,admin,203.0.113.42,FAIL
2026-04-05 15:45:13.967369,admin,203.0.113.42,FAIL
2026-04-05 15:45:13.967373,admin,203.0.113.42,FAIL
2026-04-05 15:45:13.967377,admin,203.0.113.42,FAIL
2026-04-05 15:45:13.967381,admin,203.0.113.42,FAIL
2026-04-05 15:45:13.967384,admin,203.0.113.42,FAIL
2026-04-05 15:45:16.234968,admin,192.168.1.14,SUCCESS
2026-04-05 15:45:18.539578,admin,192.168.1.17,SUCCESS
2026-04-05 15:45:19.919905,charlie,192.168.1.10,SUCCESS
2026-04-05 15:45:21.495771,admin,192.168.1.17,SUCCESS
2026-04-05 15:45:23.583473,alice,192.168.1.13,SUCCESS
2026-04-05 15:45:25.544054,alice,192.168.1.12,SUCCESS
2026-04-05 15:45:27.891809,bob,192.168.1.17,SUCCESS
2026-04-05 15:45:29.198663,charlie,192.168.1.16,SUCCESS
2026-04-05 15:45:30.826172,admin,192.168.1.13,SUCCESS
2026-04-05 15:45:32.854177,charlie,192.168.1.12,SUCCESS
2026-04-05 15:45:35.207889,admin,203.0.113.42,FAIL
2026-04-05 15:45:35.207907,admin,203.0.113.42,FAIL
2026-04-05 15:45:35.207918,admin,203.0.113.42,FAIL
2026-04-05 15:45:35.207927,admin,203.0.113.42,FAIL
2026-04-05 15:45:35.207939,admin,203.0.113.42,FAIL
2026-04-05 15:45:35.207958,admin,203.0.113.42,FAIL
2026-04-05 15:45:35.207966,admin,203.0.113.42,FAIL
2026-04-05 15:45:37.943718,alice,192.168.1.17,SUCCESS
2026-04-05 15:45:40.381847,charlie,192.168.1.16,SUCCESS
2026-04-05 15:45:43.131268,admin,192.168.1.12,SUCCESS
2026-04-05 15:45:46.044021,bob,192.168.1.10,FAIL
2026-04-05 15:45:48.285586,alice,192.168.1.15,SUCCESS
2026-04-05 15:45:50.414154,admin,203.0.113.42,FAIL
2026-04-05 15:45:50.414167,admin,203.0.113.42,FAIL
2026-04-05 15:45:50.414173,admin,203.0.113.42,FAIL
2026-04-05 15:45:50.414178,admin,203.0.113.42,FAIL
2026-04-05 15:45:50.414183,admin,203.0.113.42,FAIL
2026-04-05 15:45:50.414187,admin,203.0.113.42,FAIL
2026-04-05 15:45:50.414192,admin,203.0.113.42,FAIL
2026-04-05 15:45:51.937472,admin,203.0.113.42,FAIL
2026-04-05 15:45:51.937483,admin,203.0.113.42,FAIL
2026-04-05 15:45:51.937489,admin,203.0.113.42,FAIL
2026-04-05 15:45:51.937493,admin,203.0.113.42,FAIL
2026-04-05 15:45:51.937497,admin,203.0.113.42,FAIL
2026-04-05 15:45:51.937501,admin,203.0.113.42,FAIL
2026-04-05 15:45:52.962390,bob,192.168.1.11,SUCCESS
2026-04-05 15:45:54.166129,admin,192.168.1.18,SUCCESS
2026-04-05 15:45:55.892225,bob,192.168.1.12,SUCCESS
2026-04-05 15:45:57.761048,alice,192.168.1.14,SUCCESS
2026-04-05 15:46:00.038904,alice,192.168.1.17,FAIL
2026-04-05 15:46:01.213142,charlie,192.168.1.10,FAIL
2026-04-05 15:46:03.872612,admin,192.168.1.12,SUCCESS
2026-04-05 15:46:05.786167,bob,192.168.1.10,SUCCESS
2026-04-05 15:46:07.857895,admin,203.0.113.42,FAIL
2026-04-05 15:46:07.857905,admin,203.0.113.42,FAIL
2026-04-05 15:46:07.857910,admin,203.0.113.42,FAIL
2026-04-05 15:46:07.857915,admin,203.0.113.42,FAIL
2026-04-05 15:46:07.857919,admin,203.0.113.42,FAIL
2026-04-05 15:46:07.857923,admin,203.0.113.42,FAIL
2026-04-05 15:46:07.857926,admin,203.0.113.42,FAIL
2026-04-05 15:46:07.857930,admin,203.0.113.42,FAIL
2026-04-05 15:46:09.627451,bob,192.168.1.10,SUCCESS
2026-04-05 15:46:11.107512,charlie,192.168.1.18,FAIL
